d	Orthogroup	Batocarpus	HART001A	HART001B	HART027A	HART027B	HART058A	HART058B	HART060A	HART060B	HART062A	HART062B	HART063A	HART063B	HART067A	HART067B	HART068A	HART068B	Morus	N9750A	N9750B
transport:phospholipid binding; endosome; plasma membrane; endocytosis; clathrin vesicle coat; clathrin binding	OG0003977	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:glycoprotein biosynthetic process; glycosyltransferase activity	OG0003978	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003979	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	OG0003980	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleus; regulation of DNA-templated transcription	OG0003981	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:protein ubiquitination	OG0003982	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:glycine dehydrogenase (decarboxylating) activity; mitochondrion; glycine cleavage complex; glycine catabolic process; chloroplast envelope; glycine binding; glycine decarboxylation via glycine cleavage system; pyridoxal phosphate binding; apoplast	OG0003983	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:regulation of DNA-templated transcription; sequence-specific DNA binding	OG0003984	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:protein serine/threonine phosphatase activity; protein dephosphorylation	OG0003985	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003986	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003987	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:ubiquitin binding	OG0003988	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:RNA polymerase II transcription regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleus; regulation of transcription by RNA polymerase II; purine-rich negative regulatory element binding	OG0003989	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:acyltransferase activity; dihydrolipoyllysine-residue acetyltransferase activity; acetyl-CoA biosynthetic process from pyruvate; chloroplast thylakoid; chloroplast envelope; pyruvate dehydrogenase complex	OG0003990	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003991	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003992	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003993	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003994	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; peptidase activity; metallopeptidase activity	OG0003995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; DNA binding	OG0003996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:tricarboxylic acid cycle; respiratory chain complex II	OG0003997	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0003998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0003999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:calcium ion binding; calcium-dependent phospholipid binding; phosphatidylserine binding; cytoplasm; plasma membrane; response to heat; response to cold; response to water deprivation; response to salt stress	OG0004000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004002	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:antiporter activity; membrane; xenobiotic transmembrane transporter activity; transmembrane transport	OG0004003	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:transmembrane transporter activity; transmembrane transport	OG0004004	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
catalytic activity:hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; hydrolase activity, acting on glycosyl bonds	OG0004005	1	1	1	1	1	1	1	1	1	1	1	3	1	1	0	1	1	1	1	1
binding:DNA binding; regulation of DNA-templated transcription	OG0004006	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:hydrolase activity, acting on ester bonds	OG0004007	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004008	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004009	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding	OG0004010	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:DNA-binding transcription factor activity; regulation of DNA-templated transcription; nucleus	OG0004011	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004012	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:chloroplast	OG0004013	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity; nucleus	OG0004014	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:nucleus	OG0004015	1	1	1	1	2	1	1	0	1	1	1	2	2	1	1	0	1	1	0	1
binding:origin recognition complex; DNA replication origin binding; nucleus; nuclear origin of replication recognition complex; DNA replication	OG0004016	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:vesicle-mediated transport; intracellular protein transport; clathrin adaptor complex; membrane coat	OG0004017	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004018	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004019	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding	OG0004020	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	2	0	1	1	1
NA	OG0004021	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:cytoplasm; nuclear microtubule; microtubule binding; spindle assembly	OG0004022	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:microtubule motor activity; ATP binding; microtubule-based movement; microtubule binding	OG0004023	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004024	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004025	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:proton transmembrane transporter activity; proton-transporting two-sector ATPase complex, proton-transporting domain; proton transmembrane transport	OG0004026	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004027	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:ATP binding; ATP hydrolysis activity; plasma membrane; membrane; ATPase-coupled transmembrane transporter activity; transmembrane transport; ABC-type transporter activity	OG0004028	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:protein localization; endomembrane system	OG0004029	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; DNA binding	OG0004030	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
immune/defense:plasma membrane; defense response to other organism	OG0004031	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:cytosol; chloroplast avoidance movement; chloroplast accumulation movement	OG0004032	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:sarcosine oxidase activity; oxidoreductase activity; flavin adenine dinucleotide binding	OG0004033	2	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1
NA	OG0004034	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:RNA binding; nucleic acid binding; mRNA binding; cytosol	OG0004035	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:phosphatidate phosphatase activity; cellular lipid metabolic process	OG0004036	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:endoplasmic reticulum tubular network; endoplasmic reticulum tubular network organization	OG0004037	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding; catalytic activity:endoplasmic reticulum; N6-threonylcarbomyladenosine methylthiotransferase activity; tRNA methylthiolation; catalytic activity; iron-sulfur cluster binding; methylthiotransferase activity; 4 iron, 4 sulfur cluster binding	OG0004038	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:mitochondrial outer membrane; voltage-gated monoatomic anion channel activity; monoatomic anion transmembrane transport; transmembrane transport	OG0004039	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:cysteine-type deubiquitinase activity; nucleus; cytosol; protein deubiquitination	OG0004040	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:membrane	OG0004041	2	1	1	1	2	1	1	1	1	1	2	0	1	0	1	1	1	0	1	1
binding:protein binding	OG0004042	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:metal ion binding; ESCRT I complex; late endosome membrane; multivesicular body assembly; ubiquitin binding; intralumenal vesicle formation	OG0004043	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
signaling:phosphorelay sensor kinase activity; signal transduction; phosphorelay signal transduction system; plasma membrane; histidine phosphotransfer kinase activity; protein autophosphorylation	OG0004044	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; protein kinase activity; ATP binding; protein phosphorylation; receptor serine/threonine kinase binding	OG0004045	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:nucleic acid binding; RNA binding; mRNA binding; regulation of translation	OG0004046	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004047	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation; protein binding	OG0004048	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:water transport; water channel activity; membrane; channel activity; transmembrane transport	OG0004049	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:aminoacyl-tRNA hydrolase activity; mitochondrion; cytosol	OG0004050	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004051	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding	OG0004052	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0004053	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004054	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA-binding transcription factor activity; nucleus; sequence-specific DNA binding; positive regulation of DNA-templated transcription; DNA binding; regulation of DNA-templated transcription	OG0004055	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:cytoplasm; protein ubiquitination; ubiquitin protein ligase activity	OG0004056	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004057	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004058	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004059	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004060	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004061	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:glycoprotein biosynthetic process; glycosyltransferase activity	OG0004062	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:mitochondrion; respiratory chain complex IV	OG0004063	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:acyl binding; acyl carrier activity; mitochondrion; fatty acid biosynthetic process	OG0004064	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; DNA binding	OG0004065	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding; unknown:nuclear membrane; protein binding	OG0004066	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:response to aluminum ion; response to acidic pH	OG0004067	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:fatty-acyl-CoA binding; fatty acid metabolic process	OG0004068	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:cytoplasm	OG0004069	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:SAGA complex; nucleus; transcription factor TFIID complex; DNA-templated transcription initiation; transcription initiation at RNA polymerase II promoter; RNA polymerase II general transcription initiation factor activity; promoter-specific chromatin binding	OG0004070	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
NA	OG0004071	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:nucleus; cell differentiation; regulation of DNA-templated transcription; sequence-specific DNA binding	OG0004072	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; mRNA splicing, via spliceosome	OG0004073	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; regulation of DNA-templated transcription	OG0004074	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:RNA binding; nucleic acid binding	OG0004075	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:oxidoreductase activity; FMN binding; NAD(P)H dehydrogenase (quinone) activity; membrane	OG0004076	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:zinc ion binding; nucleus; regulation of DNA-templated transcription; photomorphogenesis	OG0004077	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:ATP binding; ATP hydrolysis activity	OG0004078	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:regulation of nitrogen utilization; enzyme regulator activity; ATP binding; cytosol; chloroplast thylakoid	OG0004079	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; DNA binding	OG0004080	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:plasma membrane	OG0004081	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004082	1	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	0	2
catalytic activity:sulfotransferase activity	OG0004083	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004084	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:polygalacturonase activity; carbohydrate metabolic process	OG0004085	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004086	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004087	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; regulation of transcription by RNA polymerase II; protein dimerization activity	OG0004088	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004089	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation	OG0004090	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004091	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; regulation of DNA-templated transcription	OG0004092	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:endosome; trans-Golgi network; membrane; protein localization to membrane	OG0004093	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:ubiquitin binding; protein binding	OG0004094	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004095	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation	OG0004096	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation	OG0004097	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004098	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004099	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
transport:magnesium ion transmembrane transporter activity; magnesium ion transport	OG0004100	1	1	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1
NA	OG0004101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:regulation of transcription by RNA polymerase II; cyclin-dependent protein serine/threonine kinase regulator activity	OG0004102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:SAGA complex; transcription coactivator activity; regulation of transcription by RNA polymerase II; SAGA-type complex	OG0004103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004105	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; nucleus; regulation of DNA-templated transcription; sequence-specific DNA binding; regulation of ribosomal protein gene transcription by RNA polymerase II	OG0004106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA-binding transcription factor activity; regulation of DNA-templated transcription; transcription cis-regulatory region binding; nucleus; positive regulation of DNA-templated transcription	OG0004107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:root development; shoot system development	OG0004108	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:phosphoric diester hydrolase activity; lipid metabolic process	OG0004109	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1
NA	OG0004110	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:zinc ion binding; endoplasmic reticulum membrane; ERAD pathway	OG0004111	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:ubiquitin binding	OG0004112	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway; metal ion binding; dimethylallyl diphosphate biosynthetic process; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity	OG0004113	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:farnesyl-diphosphate farnesyltransferase activity; endoplasmic reticulum membrane; farnesyl diphosphate metabolic process; squalene synthase activity; biosynthetic process	OG0004114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:nucleic acid binding	OG0004115	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
binding:catalytic activity; iron-sulfur cluster binding; tRNA methylation; rRNA base methylation	OG0004116	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding	OG0004117	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0004118	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:nucleic acid binding; helicase activity; ATP binding; nucleobase-containing compound metabolic process; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; DNA helicase activity; damaged DNA binding; nucleus; transcription by RNA polymerase II; positive regulation of mitotic recombination; DNA binding	OG0004119	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein dimerization activity	OG0004120	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:transcription corepressor activity; nucleus; regulation of transcription by RNA polymerase II; negative regulation of DNA-templated transcription; transcription regulator activity; DNA binding	OG0004121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004122	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:GTP binding; chloroplast outer membrane; protein targeting to chloroplast	OG0004123	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:ubiquitin-dependent protein catabolic process; proteasome regulatory particle, lid subcomplex; proteasome complex; enzyme regulator activity; regulation of protein catabolic process	OG0004124	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004125	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:intracellular protein transport; vesicle-mediated transport; membrane coat; Golgi membrane; endoplasmic reticulum; endoplasmic reticulum-Golgi intermediate compartment; endoplasmic reticulum to Golgi vesicle-mediated transport; intra-Golgi vesicle-mediated transport; protein secretion; COPI vesicle coat; structural molecule activity	OG0004126	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004127	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein kinase activity; ATP binding; protein phosphorylation; protein serine/threonine kinase activity	OG0004128	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; nucleus; vegetative to reproductive phase transition of meristem	OG0004129	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
signaling:GTPase activity; G protein-coupled receptor signaling pathway; guanyl nucleotide binding; G-protein beta/gamma-subunit complex binding; signal transduction; G protein-coupled receptor binding; cytoplasm; heterotrimeric G-protein complex; adenylate cyclase-modulating G protein-coupled receptor signaling pathway	OG0004130	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:cytoplasm; nuclear microtubule; microtubule binding; spindle assembly	OG0004131	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:oxidoreductase activity; heme binding; iron-sulfur cluster binding	OG0004132	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004133	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:metal ion binding	OG0004134	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process	OG0004135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:DNA binding; chromatin binding; nucleus; negative regulation of gene expression, epigenetic	OG0004136	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:procollagen-proline 4-dioxygenase activity; endoplasmic reticulum; peptidyl-proline hydroxylation to 4-hydroxy-L-proline; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; L-ascorbic acid binding	OG0004137	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
catalytic activity:ubiquitin protein ligase activity	OG0004138	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004139	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding	OG0004140	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:ATP binding; vacuolar acidification; proton-transporting ATPase activity, rotational mechanism; ATP metabolic process; proton transmembrane transport	OG0004141	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
transport:magnesium ion transmembrane transporter activity; magnesium ion transport	OG0004142	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004143	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding; catalytic activity:DNA clamp loader activity; DNA replication factor C complex; DNA-templated DNA replication; DNA repair; DNA-directed DNA polymerase activity; DNA binding; DNA replication	OG0004144	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
binding:protein binding; DNA binding; double-stranded DNA binding; transcription coregulator activity; nucleus; regulation of transcription by RNA polymerase II	OG0004145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NA	OG0004146	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
unknown:guanosine tetraphosphate metabolic process	OG0004147	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
